ID	名称	类型	品质	装备说明	初始值	升级成长值	Icom图片路径	海报图片路径	名字图片路径	orderId	套装
336 进化海神羽织(特典)	2	5	被海神祝福过的羽衣，如丝带一般，轻盈飘逸。	514	48.4	equipposter/poster_clothes_haishenyuzhi.png	equipposter/poster_clothes_haishenyuzhi.png	equiptex/tex_clothes_haishenyuzhi.png	336	none
337 王者战衣(特典)	2	1	据传是海贼王穿过的大衣，华丽高贵，充满王者霸气。	220	19	equipposter/poster_clothes_wangzhezhanyi.png	equipposter/poster_clothes_wangzhezhanyi.png	equiptex/tex_clothes_wangzhezhanyi.png	337	none
338 进化王者战衣(特典)	2	5	据传是海贼王穿过的大衣，华丽高贵，充满王者霸气。	520	49	equipposter/poster_clothes_wangzhezhanyi.png	equipposter/poster_clothes_wangzhezhanyi.png	equiptex/tex_clothes_wangzhezhanyi.png	338	none
339 海洋之心(特典)	3	1	鲜艳深蓝色的透明钻石，光芒四射的外表下隐藏着充满厄运与不幸的历史。	728	58.2	equipposter/poster_jewelry_haiyangzhixin.png	equipposter/poster_jewelry_haiyangzhixin.png	equiptex/tex_jewelry_haiyangzhixin.png	339	none
340 进化海洋之心(特典)	3	5	鲜艳深蓝色的透明钻石，光芒四射的外表下隐藏着充满厄运与不幸的历史。	1128	98.2	equipposter/poster_jewelry_haiyangzhixin.png	equipposter/poster_jewelry_haiyangzhixin.png	equiptex/tex_jewelry_haiyangzhixin.png	340	none
341 阎魔(典藏)	1	1	前海贼王船员光月·御田的佩刀，传说中斩龙的利刃，会蚕食使用者的霸气，进化后能力更强。	660	60	equipposter/poster_weapon_yanmo.png	equipposter/poster_weapon_yanmo.png	equiptex/tex_weapon_yanmo.png	341	none
342	进化阎魔(典藏)	1	5	前海贼王船员光月·御田的佩刀，传说中斩龙的利刃，会蚕食使用者的霸气，进化后能力更强。	1100	105	equipposter/poster_weapon_yanmo.png	equipposter/poster_weapon_yanmo.png	equiptex/tex_weapon_yanmo.png	342	none
343 传承草帽(典藏)	2	1	海贼王哥尔·D·罗杰曾经使用的草帽，象征着自由的意志。	360	30	equipposter/caomao1.png	equipposter/caomao1.png	equiptex/caomao1.png	343	none
344 进化草帽(典藏)	2	5	海贼王哥尔·D·罗杰曾经使用的草帽，象征着自由的意志。	810	75	equipposter/caomao1.png	equipposter/caomao1.png	equiptex/caomao1.png	344	none
345 黑刀夜(典藏)	1	1	世界最强之黑刀，无上大快刀之一，漆黑的利刃，为乱刃重花丁字型。	603	45	equipposter/poster_weapon_heidaoye.png	equipposter/poster_weapon_heidaoye.png	equiptex/tex_weapon_heidaoye.png	345	none
346 进化黑刀夜(典藏)	1	5	世界最强之黑刀，无上大快刀之一，漆黑的利刃，为乱刃重花丁字型。	1053	90	equipposter/poster_weapon_heidaoyeS.png	equipposter/poster_weapon_heidaoyeS.png	equiptex/tex_weapon_heidaoyeS.png	346	none
347 王者薙刀(典藏)	1	1	巨大的长柄薙刀，因为其主人白胡子的缘故，散发出王者霸气。	567	41.1	equipposter/poster_weapon_wangzhetidao.png	equipposter/poster_weapon_wangzhetidao.png	equiptex/tex_weapon_wangzhetidao.png	347	none
348 进化薙刀(典藏)	1	5	巨大的长柄薙刀，因为其主人白胡子的缘故，散发出王者霸气。	1017	86.1	equipposter/poster_weapon_wangzhetidao.png	equipposter/poster_weapon_wangzhetidao.png	equiptex/tex_weapon_wangzhetidao.png	348	none
349 七星剑(典藏)	1	1	闪耀着七星光辉的圣剑，因为受到诅咒，从而成为足以毁天灭地的妖刀。	507	35.1	equipposter/poster_weapon_qixingjian.png	equipposter/poster_weapon_qixingjian.png	equiptex/tex_weapon_qixingjian.png	349	none
350 进化七星剑(典藏)	1	5	闪耀着七星光辉的圣剑，因为受到诅咒，从而成为足以毁天灭地的妖刀。	957	80.1	equipposter/poster_weapon_qixingjian.png	equipposter/poster_weapon_qixingjian.png	equiptex/tex_weapon_qixingjian.png	350	none
351 恶魔战斧(典藏)	1	1	巨大的战斧，传说为恶魔的兵刃，散发着诡异恐怖的气息。	492	33	equipposter/poster_weapon_emozhanfu.png	equipposter/poster_weapon_emozhanfu.png	equiptex/tex_weapon_emozhanfu.png	351	none
352 进化恶魔战斧(典藏)	1	5	巨大的战斧，传说为恶魔的兵刃，散发着诡异恐怖的气息。	942	78	equipposter/poster_weapon_emozhanfu.png	equipposter/poster_weapon_emozhanfu.png	equiptex/tex_weapon_emozhanfu.png	352	none
353 十字战甲(典藏)	2	1	胸前刻有十字的神圣战甲，传说接受了神明的祝福，而拥有无比强大的防御力。	336	26.4	equipposter/poster_clothes_shizizhanjia.png	equipposter/poster_clothes_shizizhanjia.png	equiptex/tex_clothes_shizizhanjia.png	353	none
354 进化十字战甲(典藏)	2	5	胸前刻有十字的神圣战甲，传说接受了神明的祝福，而拥有无比强大的防御力。	786	71.4	equipposter/poster_clothes_shizizhanjia.png	equipposter/poster_clothes_shizizhanjia.png	equiptex/tex_clothes_shizizhanjia.png	354	none
355 火烈鸟大氅(典藏)	2	1	使用上千火烈鸟羽毛编织而成的大氅，柔软舒适，华贵无比。	297	24.3	equipposter/poster_clothes_huolieniaodachang.png	equipposter/poster_clothes_huolieniaodachang.png	equiptex/tex_clothes_huolieniaodachang.png	355	none
356 进化火烈鸟(典藏)	2	5	使用上千火烈鸟羽毛编织而成的大氅，柔软舒适，华贵无比。	747	69.3	equipposter/poster_clothes_huolieniaodachang.png	equipposter/poster_clothes_huolieniaodachang.png	equiptex/tex_clothes_huolieniaodachang.png	356	none
357 战神头盔(典藏)	2	1	传说中巨人信仰的战神所戴的头盔，被赋予了无尽的勇气和不屈意志。	303	23.7	equipposter/poster_clothes_zhanshentoukui.png	equipposter/poster_clothes_zhanshentoukui.png	equiptex/tex_clothes_zhanshentoukui.png	357	none
358 进化战神头盔(典藏)	2	5	传说中巨人信仰的战神所戴的头盔，被赋予了无尽的勇气和不屈意志。	753	68.7	equipposter/poster_clothes_zhanshentoukui.png	equipposter/poster_clothes_zhanshentoukui.png	equiptex/tex_clothes_zhanshentoukui.png	358	none
359 统治者披风(典藏)	2	1	上位统治者专属的披风，系上之后威风凛凛，尽显王者之风。	294	23.4	equipposter/poster_clothes_tongzhizhepifeng.png	equipposter/poster_clothes_tongzhizhepifeng.png	equiptex/tex_clothes_tongzhizhepifeng.png	359	none
360 进化披风(典藏)	2	5	上位统治者专属的披风，系上之后威风凛凛，尽显王者之风。，进化后能力更强。	744	68.4	equipposter/poster_clothes_tongzhizhepifeng.png	equipposter/poster_clothes_tongzhizhepifeng.png	equiptex/tex_clothes_tongzhizhepifeng.png	359	none
361 玫瑰战甲(典藏)	2	1	粉色的战甲，上面镂刻着朵朵盛开的玫瑰，美艳绝伦。	300	23.4	equipposter/poster_clothes_meiguizhanjia.png	equipposter/poster_clothes_meiguizhanjia.png	equiptex/tex_clothes_meiguizhanjia.png	361	none
362 进化玫瑰战甲(典藏)	2	5	粉色的战甲，上面镂刻着朵朵盛开的玫瑰，美艳绝伦。	750	68.4	equipposter/poster_clothes_meiguizhanjia.png	equipposter/poster_clothes_meiguizhanjia.png	equiptex/tex_clothes_meiguizhanjia.png	362	none
363 命运流火(典藏)	3	1	不知名的材料制作而成，仿佛一团火焰在水晶中流动，充满着命运的神秘感。	1020	80.7	equipposter/poster_jewelry_mingyunliuhuo.png	equipposter/poster_jewelry_mingyunliuhuo.png	equiptex/tex_jewelry_mingyunliuhuo.png	363	none
364 进化命运流火(典藏)	3	5	不知名的材料制作而成，仿佛一团火焰在水晶中流动，充满着命运的神秘感。	1620	140.7	equipposter/poster_jewelry_mingyunliuhuo.png	equipposter/poster_jewelry_mingyunliuhuo.png	equiptex/tex_jewelry_mingyunliuhuo.png	364	none
365 死亡诱惑(典藏)	3	1	骷髅状的挂饰，直视它空洞的双瞳，就会沉入死亡的阴影之中，只有意志坚强者才能佩戴。	975	71.4	equipposter/poster_jewelry_siwangyouhuo.png	equipposter/poster_jewelry_siwangyouhuo.png	equiptex/tex_jewelry_siwangyouhuo.png	365	none
366 进化死亡诱惑(典藏)	3	5	骷髅状的挂饰，直视它空洞的双瞳，就会沉入死亡的阴影之中，只有意志坚强者才能佩戴。	1575	131.4	equipposter/poster_jewelry_siwangyouhuo.png	equipposter/poster_jewelry_siwangyouhuo.png	equiptex/tex_jewelry_siwangyouhuo.png	366	none
367 十字挂饰(典藏)	3	1	十字型的华丽挂饰，上面镶嵌着宝石，熠熠生辉，充斥着神圣而高贵的气息。	960	70.2	equipposter/poster_jewelry_shiziguashi.png	equipposter/poster_jewelry_shiziguashi.png	equiptex/tex_jewelry_shiziguashi.png	367	none
368 进化十字挂饰(典藏)	3	5	十字型的华丽挂饰，上面镶嵌着宝石，熠熠生辉，充斥着神圣而高贵的气息。	1530	130.2	equipposter/poster_jewelry_shiziguashi.png	equipposter/poster_jewelry_shiziguashi.png	equiptex/tex_jewelry_shiziguashi.png	368	none
369 深海之眼(典藏)	3	1	银色的戒指上，镶嵌着深蓝色的巨大宝石，仿佛海神之眼，幽蓝而深邃。经过进化后能力更强。	900	69.9	equipposter/poster_jewelry_shenhaizhiyan.png	equipposter/poster_jewelry_shenhaizhiyan.png	equiptex/tex_jewelry_shenhaizhiyan.png	369	none
370 进化深海之眼(典藏)	3	5	银色的戒指上，镶嵌着深蓝色的巨大宝石，仿佛海神之眼，幽蓝而深邃。经过进化后能力更强。	1500	129.9	equipposter/poster_jewelry_shenhaizhiyan.png	equipposter/poster_jewelry_shenhaizhiyan.png	equiptex/tex_jewelry_shenhaizhiyan.png	370	none
371 诱惑之瞳(典藏)	3	1	金色的戒指上镶嵌着巨大的紫色宝石，神秘妖冶，充满诱惑。	870	68.4	equipposter/poster_jewelry_youhuozhitong.png	equipposter/poster_jewelry_youhuozhitong.png	equiptex/tex_jewelry_youhuozhitong.png	371	none
372 进化诱惑之瞳(典藏)	3	5	金色的戒指上镶嵌着巨大的紫色宝石，神秘妖冶，充满诱惑。	1470	128.4	equipposter/poster_jewelry_youhuozhitong.png	equipposter/poster_jewelry_youhuozhitong.png	equiptex/tex_jewelry_youhuozhitong.png	372	none
373 霸海(典藏)	1	1	外表看上去极其普通的弯刀，据说只有被认可的海上霸者，才能发挥其蕴含着的神秘力量。	660	47.4	equipposter/poster_weapon_bahai.png	equipposter/poster_weapon_bahai.png	equiptex/tex_weapon_bahai.png	373	none
374 进化霸海(典藏)	1	5	外表看上去极其普通的弯刀，据说只有被认可的海上霸者，才能发挥其蕴含着的神秘力量。	1110	92.4	equipposter/poster_weapon_bahaiS.png	equipposter/poster_weapon_bahaiS.png	equiptex/tex_weapon_bahaiS.png	374	none
375 海皇三叉戟(典藏)	1	1	据传为海皇所用的三叉戟神器，既能掀起狂暴的海浪，也能召唤海兽为其效力。	585	42.6	equipposter/poster_weapon_haihuangsanchaji.png	equipposter/poster_weapon_haihuangsanchaji.png	equiptex/tex_weapon_haihuangsanchaji.png	375	none
376 进化海皇三叉戟(典藏)	1	5	据传为海皇所用的三叉戟神器，既能掀起狂暴的海浪，也能召唤海兽为其效力。	1035	87.6	equipposter/poster_weapon_haihuangsanchaji.png	equipposter/poster_weapon_haihuangsanchaji.png	equiptex/tex_weapon_haihuangsanchaji.png	376	none
377 海神羽织(典藏)	2	1	被海神祝福过的羽衣，如丝带一般，轻盈飘逸。	321	27.6	equipposter/poster_clothes_haishenyuzhi.png	equipposter/poster_clothes_haishenyuzhi.png	equiptex/tex_clothes_haishenyuzhi.png	377	none
378 进化海神羽织(典藏)	2	5	被海神祝福过的羽衣，如丝带一般，轻盈飘逸。	771	72.6	equipposter/poster_clothes_haishenyuzhi.png	equipposter/poster_clothes_haishenyuzhi.png	equiptex/tex_clothes_haishenyuzhi.png	378	none
379 王者战衣(典藏)	2	1	据传是海贼王穿过的大衣，华丽高贵，充满王者霸气。	330	28.5	equipposter/poster_clothes_wangzhezhanyi.png	equipposter/poster_clothes_wangzhezhanyi.png	equiptex/tex_clothes_wangzhezhanyi.png	379	none
380 进化王者战衣(典藏)	2	5	据传是海贼王穿过的大衣，华丽高贵，充满王者霸气。	780	73.5	equipposter/poster_clothes_wangzhezhanyi.png	equipposter/poster_clothes_wangzhezhanyi.png	equiptex/tex_clothes_wangzhezhanyi.png	380	none
381 海洋之心(典藏)	3	1	鲜艳深蓝色的透明钻石，光芒四射的外表下隐藏着充满厄运与不幸的历史。	1092	87.3	equipposter/poster_jewelry_haiyangzhixin.png	equipposter/poster_jewelry_haiyangzhixin.png	equiptex/tex_jewelry_haiyangzhixin.png	381	none
382 进化海洋之心(典藏)	3	5	鲜艳深蓝色的透明钻石，光芒四射的外表下隐藏着充满厄运与不幸的历史。	1692	147.3	equipposter/poster_jewelry_haiyangzhixin.png	equipposter/poster_jewelry_haiyangzhixin.png	equiptex/tex_jewelry_haiyangzhixin.png	382	none
383	神罚(特典)	1	5	传说中的灭世神兵，其恐怖的力量犹如天神的惩罚，令人闻风生畏，被拆成碎片封存在世界的各个角落。	900	80	equipposter/poster_weapon_shenfa.png	equipposter/poster_weapon_shenfa.png	equipposter/poster_weapon_shenfa.png	383	none
384	神域(特典)	2	5	传说中的守护神所赐予，抵御一切伤害之物，此物不知材质，被化为碎片供奉在世界各地。	400	60	equipposter/poster_clothes_shenyu.png	equipposter/poster_clothes_shenyu.png	equipposter/poster_clothes_shenyu.png	384	none
385	神恩(特典)	3	5	传说中神之配饰，拥有无限生机，可医死人肉白骨，哪怕沾上一丝气息，也能强身壮体，健步如飞，由于天地巨变被打破，其碎片也不知所踪。	1200	80	equipposter/poster_jewelry_shenen.png	equipposter/poster_jewelry_shenen.png	equiptex/tex_jewelry_shenen.png	385	none
386	天·阎魔	1	5	经上古天王结晶熔炼而成的阎魔，穿戴2件以上天王套装将触发天王套装效果。	570	55	equipposter/poster_weapon_yanmo.png	equipposter/poster_weapon_yanmo.png	equiptex/tex_weapon_yanmo.png	386	1,2
387	海·阎魔	1	5	经上古海王结晶熔炼而成的阎魔，穿戴2件以上海王套装将触发海王套装效果。	570	55	equipposter/poster_weapon_yanmo.png	equipposter/poster_weapon_yanmo.png	equiptex/tex_weapon_yanmo.png	387	3,4
388	冥·阎魔	1	5	经上古冥王结晶熔炼而成的阎魔，穿戴2件以上冥王套装将触发冥王套装效果。	570	55	equipposter/poster_weapon_yanmo.png	equipposter/poster_weapon_yanmo.png	equiptex/tex_weapon_yanmo.png	388	5,6
450	鬼泣	1	1	大快刀之一，刀尖传来恶鬼的啜泣声。	200	16	equipposter/poster_weapon_guiku.png	equipposter/poster_weapon_guiku.png	equipposter/poster_weapon_guiku.png	450	none
451	进化鬼泣	1	5	大快刀之一，刀尖传来恶鬼的啜泣声。	350	31	equipposter/poster_weapon_guiku.png	equipposter/poster_weapon_guiku.png	equipposter/poster_weapon_guiku.png	450	none
452	鬼泣(特典)	1	1	大快刀之一，刀尖传来恶鬼的啜泣声。	400	32	equipposter/poster_weapon_guiku.png	equipposter/poster_weapon_guiku.png	equipposter/poster_weapon_guiku.png	450	none
453	进化鬼泣(特典)	1	5	大快刀之一，刀尖传来恶鬼的啜泣声。	700	62	equipposter/poster_weapon_guiku.png	equipposter/poster_weapon_guiku.png	equipposter/poster_weapon_guiku.png	450	none
454	鬼泣(典藏)	1	1	大快刀之一，刀尖传来恶鬼的啜泣声。	600	48	equipposter/poster_weapon_guiku.png	equipposter/poster_weapon_guiku.png	equipposter/poster_weapon_guiku.png	450	none
455	进化鬼泣(典藏)	1	5	大快刀之一，刀尖传来恶鬼的啜泣声。	1050	93	equipposter/poster_weapon_guiku.png	equipposter/poster_weapon_guiku.png	equipposter/poster_weapon_guiku.png	450	none
456	天·鬼泣	1	1	大快刀之一，刀尖传来恶鬼的啜泣声。	200	16	equipposter/poster_weapon_guiku.png	equipposter/poster_weapon_guiku.png	equipposter/poster_weapon_guiku.png	450	none
457	海·鬼泣	1	1	大快刀之一，刀尖传来恶鬼的啜泣声。	200	16	equipposter/poster_weapon_guiku.png	equipposter/poster_weapon_guiku.png	equipposter/poster_weapon_guiku.png	450	none
458	冥·鬼泣	1	1	大快刀之一，刀尖传来恶鬼的啜泣声。	200	16	equipposter/poster_weapon_guiku.png	equipposter/poster_weapon_guiku.png	equipposter/poster_weapon_guiku.png	450	none
459	天·鬼泣(特典)	1	1	大快刀之一，刀尖传来恶鬼的啜泣声。	200	16	equipposter/poster_weapon_guiku.png	equipposter/poster_weapon_guiku.png	equipposter/poster_weapon_guiku.png	450	none
460	海·鬼泣(特典)	1	1	大快刀之一，刀尖传来恶鬼的啜泣声。	200	16	equipposter/poster_weapon_guiku.png	equipposter/poster_weapon_guiku.png	equipposter/poster_weapon_guiku.png	450	none
461	冥·鬼泣(特典)	1	1	大快刀之一，刀尖传来恶鬼的啜泣声。	200	16	equipposter/poster_weapon_guiku.png	equipposter/poster_weapon_guiku.png	equipposter/poster_weapon_guiku.png	450	none
462	天·鬼泣(典藏)	1	1	大快刀之一，刀尖传来恶鬼的啜泣声。	200	16	equipposter/poster_weapon_guiku.png	equipposter/poster_weapon_guiku.png	equipposter/poster_weapon_guiku.png	450	none
463	海·鬼泣(典藏)	1	1	大快刀之一，刀尖传来恶鬼的啜泣声。	200	16	equipposter/poster_weapon_guiku.png	equipposter/poster_weapon_guiku.png	equipposter/poster_weapon_guiku.png	450	none
464	冥·鬼泣(典藏)	1	1	大快刀之一，刀尖传来恶鬼的啜泣声。	200	16	equipposter/poster_weapon_guiku.png	equipposter/poster_weapon_guiku.png	equipposter/poster_weapon_guiku.png	450	none
465	神罚(典藏)	1	5	传说中的灭世神兵，其恐怖的力量犹如天神的惩罚，令人闻风生畏，被拆成碎片封存在世界的各个角落。	1350	120	equipposter/poster_weapon_shenfa.png	equipposter/poster_weapon_shenfa.png	equipposter/poster_weapon_shenfa.png	383	none
